"","coef","Gene"
"NTPI_V-TYPE H+-ATPASE SUBUNIT I",0.0181830704005744,"NTPI_V-TYPE H+-ATPASE SUBUNIT I"
"GROUP_2025_PROTEIN LACX PLASMID",0.0181582793094562,"GROUP_2025_PROTEIN LACX PLASMID"
"GROUP_2506_IRON ABC TRANSPORTER PERMEASE",0.0181391142233862,"GROUP_2506_IRON ABC TRANSPORTER PERMEASE"
"GROUP_12804_MEMBRANE PROTEIN",0.018052952425038,"GROUP_12804_MEMBRANE PROTEIN"
"GROUP_4123_7-CYANO-7-DEAZAGUANINE REDUCTASE",0.0179797006367249,"GROUP_4123_7-CYANO-7-DEAZAGUANINE REDUCTASE"
"GROUP_4522_MOBA/MOBL FAMILY PROTEIN",0.0178179293252246,"GROUP_4522_MOBA/MOBL FAMILY PROTEIN"
"GROUP_2816_POLY-GAMMA-GLUTAMATE BIOSYNTHESIS PROTEIN",0.0176836457570771,"GROUP_2816_POLY-GAMMA-GLUTAMATE BIOSYNTHESIS PROTEIN"
"GROUP_6573_GP15",0.0175643748628619,"GROUP_6573_GP15"
"PCP-TRUNCATION_PYRROLIDONE CARBOXYL PEPTIDASE TRUNCATION",0.0173321145612615,"PCP-TRUNCATION_PYRROLIDONE CARBOXYL PEPTIDASE TRUNCATION"
"GROUP_9021_DUF1706 DOMAIN-CONTAINING PROTEIN",0.0171381351217965,"GROUP_9021_DUF1706 DOMAIN-CONTAINING PROTEIN"
"SPIR1_REGULATORY PROTEIN SINGLE DOMAIN RESPONSE REGULATOR",0.0169692401866277,"SPIR1_REGULATORY PROTEIN SINGLE DOMAIN RESPONSE REGULATOR"
"GROUP_7464_FERRIC IRON ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE",0.0169573551720256,"GROUP_7464_FERRIC IRON ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE"
"GROUP_18391_GP31",0.0167183609215117,"GROUP_18391_GP31"
"GROUP_19701_GP45",0.0166758753845991,"GROUP_19701_GP45"
"GROUP_11573_PROLYL OLIGOPEPTIDASE FAMILY PROTEIN",0.016508811760259,"GROUP_11573_PROLYL OLIGOPEPTIDASE FAMILY PROTEIN"
"HPDA_PYRUVATE FORMATE-LYASE 3",0.0163226556173926,"HPDA_PYRUVATE FORMATE-LYASE 3"
"GROUP_3443_RNA METHYLTRANSFERASE",0.0162684997320384,"GROUP_3443_RNA METHYLTRANSFERASE"
"GROUP_16119_RIBONUCLEOTIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA",0.0161825872513518,"GROUP_16119_RIBONUCLEOTIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA"
"GROUP_12590_LACTOSE-SPECIFIC PHOSPHOTRANSFERASE EIIA",0.0161693587559375,"GROUP_12590_LACTOSE-SPECIFIC PHOSPHOTRANSFERASE EIIA"
"GROUP_10613_PTS SYSTEM IIC COMPONENT",0.0159045064693156,"GROUP_10613_PTS SYSTEM IIC COMPONENT"
"GROUP_7820_TRANSCRIPTIONAL REGULATOR BGLG FAMILY",0.015769188388541,"GROUP_7820_TRANSCRIPTIONAL REGULATOR BGLG FAMILY"
"NISC_LANTIBIOTIC BIOSYNTHESIS PROTEIN",0.0157523008299533,"NISC_LANTIBIOTIC BIOSYNTHESIS PROTEIN"
"GROUP_9149_P-TYPE ATPASE-METAL CATION TRANSPORT",0.0153631027350211,"GROUP_9149_P-TYPE ATPASE-METAL CATION TRANSPORT"
"GROUP_3041_HISTIDINE KINASE",0.0152225297063425,"GROUP_3041_HISTIDINE KINASE"
"ACOB_PUTATIVE ACETOIN DEHYDROGENASE",0.0150767508223137,"ACOB_PUTATIVE ACETOIN DEHYDROGENASE"
"GROUP_9050_THIOREDOXIN",0.0150759154464483,"GROUP_9050_THIOREDOXIN"
"BLPPQ_BACTERIOCIN BLPPQ",0.0146405741032258,"BLPPQ_BACTERIOCIN BLPPQ"
"GROUP_10468_GLUTAMINE AMIDOTRANSFERASE CLASS I",0.0145708383555924,"GROUP_10468_GLUTAMINE AMIDOTRANSFERASE CLASS I"
"GROUP_9626_PYRROLINE-5-CARBOXYLATE REDUCTASE",0.0141127440853683,"GROUP_9626_PYRROLINE-5-CARBOXYLATE REDUCTASE"
"GROUP_9187_HISTIDINE KINASE",0.0131475157909796,"GROUP_9187_HISTIDINE KINASE"
"GROUP_15673_PHAGE PROTEIN",0.0130136884787254,"GROUP_15673_PHAGE PROTEIN"
"GROUP_10817_LIPOPROTEIN NLP/P60 FAMILY",0.0129912045095987,"GROUP_10817_LIPOPROTEIN NLP/P60 FAMILY"
"GROUP_14336_PREVENT-HOST-DEATH FAMILY PROTEIN",0.0129828944275103,"GROUP_14336_PREVENT-HOST-DEATH FAMILY PROTEIN"
"MTA_MERR FAMILY TRANSCRIPTIONAL REGULATOR",0.012964923477094,"MTA_MERR FAMILY TRANSCRIPTIONAL REGULATOR"
"LEUA_2_2-ISOPROPYLMALATE SYNTHASE",0.0129582822774947,"LEUA_2_2-ISOPROPYLMALATE SYNTHASE"
"GROUP_10773_BACTERIOCIN BLPO",0.0129522926123471,"GROUP_10773_BACTERIOCIN BLPO"
"GROUP_6802_SUCROSE PHOSPHORYLASE",0.0129111320427075,"GROUP_6802_SUCROSE PHOSPHORYLASE"
"GROUP_15607_NRDH-REDOXIN",0.0127600939163909,"GROUP_15607_NRDH-REDOXIN"
"GROUP_16278_CELL DIVISION INITIATION PROTEIN DIVIVA",0.0124942512943821,"GROUP_16278_CELL DIVISION INITIATION PROTEIN DIVIVA"
"GROUP_4678_ARSENATE REDUCTASE-LIKE GLUTAREDOXIN FAMILY PROTEIN",0.012182133832794,"GROUP_4678_ARSENATE REDUCTASE-LIKE GLUTAREDOXIN FAMILY PROTEIN"
"GROUP_8281_SECRETED PROTEIN",0.0121539393845888,"GROUP_8281_SECRETED PROTEIN"
"GROUP_4736_GLYOXALASE-LIKE PROTEIN",0.0118329388546919,"GROUP_4736_GLYOXALASE-LIKE PROTEIN"
"GROUP_3680_ACETYLTRANSFERASE GNAT FAMILY PROTEIN",0.0116576724853401,"GROUP_3680_ACETYLTRANSFERASE GNAT FAMILY PROTEIN"
"GROUP_4037_ABC TRANSPORTER ATPASE",0.0115871162992165,"GROUP_4037_ABC TRANSPORTER ATPASE"
"GROUP_8326_PHAGE INTEGRASE",0.0111756820690379,"GROUP_8326_PHAGE INTEGRASE"
"PNCO_METAL-DEPENDENT CAAX AMINO TERMINAL MEMBRANE PROTEASE",0.0110533509802994,"PNCO_METAL-DEPENDENT CAAX AMINO TERMINAL MEMBRANE PROTEASE"
"GROUP_3659_MAJOR FACILITATOR SUPERFAMILY PERMEASE",0.0107567663807466,"GROUP_3659_MAJOR FACILITATOR SUPERFAMILY PERMEASE"
"GROUP_3375_ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE",0.0107502933254484,"GROUP_3375_ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE"
"DPNA_DNA (CYTOSINE-5-)-METHYLTRANSFERASE",0.0106958643212752,"DPNA_DNA (CYTOSINE-5-)-METHYLTRANSFERASE"
"GROUP_14698_METHIONYL AMINOPEPTIDASE",0.0105756822019818,"GROUP_14698_METHIONYL AMINOPEPTIDASE"
"GROUP_6088_TRANSLATION FACTOR",0.0104620132338082,"GROUP_6088_TRANSLATION FACTOR"
"GROUP_10467_GLUTAMINE AMIDOTRANSFERASE CLASS I",0.0103120867200045,"GROUP_10467_GLUTAMINE AMIDOTRANSFERASE CLASS I"
"GROUP_9697_PROTEIN OF UNKNOWN FUNCTION (DUF3847)",0.0103083333311181,"GROUP_9697_PROTEIN OF UNKNOWN FUNCTION (DUF3847)"
"GROUP_12362_PHAGE TERMINASE SMALL SUBUNIT",0.0102302856370641,"GROUP_12362_PHAGE TERMINASE SMALL SUBUNIT"
"GROUP_17443_PHAGE HEAD-TAIL ADAPTOR",0.0101702229054563,"GROUP_17443_PHAGE HEAD-TAIL ADAPTOR"
"GROUP_16762_PUTATIVE IMMUNITY PROTEIN",0.00969221545647547,"GROUP_16762_PUTATIVE IMMUNITY PROTEIN"
"GROUP_11966_MEMBRANE PROTEIN",0.00953781560671857,"GROUP_11966_MEMBRANE PROTEIN"
"GROUP_13797_RIBULOSE-6-PHOSPHATE EPIMERASE",0.00939262652490603,"GROUP_13797_RIBULOSE-6-PHOSPHATE EPIMERASE"
"GROUP_5046_PHAGE PROTEIN",0.00925262663617509,"GROUP_5046_PHAGE PROTEIN"
"GROUP_13758_N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE",0.00923131733859583,"GROUP_13758_N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE"
"GROUP_13394_DNA POLYMERASE III SUBUNIT EPSILON",0.00920873395690945,"GROUP_13394_DNA POLYMERASE III SUBUNIT EPSILON"
"GROUP_13447_PUTATIVE ATPASE",0.00902914025202787,"GROUP_13447_PUTATIVE ATPASE"
"NTPE_V-TYPE H+-ATPASE SUBUNIT E",0.00854776360379197,"NTPE_V-TYPE H+-ATPASE SUBUNIT E"
"GROUP_7067_COMPETENCE PROTEIN COMGF",0.00846765609289401,"GROUP_7067_COMPETENCE PROTEIN COMGF"
"YDAF_5_SHIKIMATE KINASE",0.00805342208673902,"YDAF_5_SHIKIMATE KINASE"
"GROUP_176_CHLOROHYDROLASE",0.00803014271744507,"GROUP_176_CHLOROHYDROLASE"
"GROUP_15305_BACTERIOPHAGE MATURATION PROTEASE",0.00794244452628299,"GROUP_15305_BACTERIOPHAGE MATURATION PROTEASE"
"GROUP_4951_ZINC METALLOPEPTIDASE",0.00788507556899462,"GROUP_4951_ZINC METALLOPEPTIDASE"
"GROUP_4945_ZINC METALLOPEPTIDASE",0.00772821966480875,"GROUP_4945_ZINC METALLOPEPTIDASE"
"YUTD_TRANSCRIPTIONAL REGULATOR",0.00751624595030501,"YUTD_TRANSCRIPTIONAL REGULATOR"
"TRKA_TRK FAMILY POTASSIUM UPTAKE PROTEIN",0.00741817438234934,"TRKA_TRK FAMILY POTASSIUM UPTAKE PROTEIN"
"GROUP_15391_DNA OR RNA HELICASES OF SUPERFAMILY II",0.00737870673411321,"GROUP_15391_DNA OR RNA HELICASES OF SUPERFAMILY II"
"GLGA_GLYCOGEN SYNTHASE",0.00734235158009986,"GLGA_GLYCOGEN SYNTHASE"
"YCJP_1_ABC TRANSPORTER PERMEASE",0.00728356819892667,"YCJP_1_ABC TRANSPORTER PERMEASE"
"GROUP_12114_FRUCTOKINASE",0.00697934614890385,"GROUP_12114_FRUCTOKINASE"
"GROUP_3569_COMPETENCE PROTEIN",0.00690184444516451,"GROUP_3569_COMPETENCE PROTEIN"
"GROUP_3976_SMC FAILY PROTEIN",0.00683138800255226,"GROUP_3976_SMC FAILY PROTEIN"
"NDK_NUCLEOSIDE DIPHOSPHATE KINASE",0.00649739672111857,"NDK_NUCLEOSIDE DIPHOSPHATE KINASE"
"GROUP_5288_PTS SYSTEM TRANSPORTER SUBUNIT IIB",0.00645647044586129,"GROUP_5288_PTS SYSTEM TRANSPORTER SUBUNIT IIB"
"GROUP_16206_PHAGE PROTEIN",0.00635260847506409,"GROUP_16206_PHAGE PROTEIN"
"GROUP_15226_DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE",0.00628732580455649,"GROUP_15226_DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE"
"GROUP_6847_NRAMP FAMILY METAL ION TRANSPORTER",0.00611375542358554,"GROUP_6847_NRAMP FAMILY METAL ION TRANSPORTER"
"GROUP_4563_23S RRNA (URACIL-5-)-METHYLTRANSFERASE RUMA",0.00610693605330024,"GROUP_4563_23S RRNA (URACIL-5-)-METHYLTRANSFERASE RUMA"
"MANP_PTS TRANSPORTER IIB SUBUNIT",0.0058902758513675,"MANP_PTS TRANSPORTER IIB SUBUNIT"
"GROUP_9827_COA-BINDING PROTEIN",0.00569589449153101,"GROUP_9827_COA-BINDING PROTEIN"
"GROUP_17473_CONJUGATION PROTEIN",0.00555589648519967,"GROUP_17473_CONJUGATION PROTEIN"
"GROUP_7255_NICOTINIC ACID MONONUCLEOTIDE ADENYLTRANSFERASE",0.00547760510653997,"GROUP_7255_NICOTINIC ACID MONONUCLEOTIDE ADENYLTRANSFERASE"
"YETF_PUTATIVE MEMBRANE PROTEIN YETF",0.00526382220171405,"YETF_PUTATIVE MEMBRANE PROTEIN YETF"
"GPSB_CELL DIVISION INITIATION PROTEIN",0.00517861376580815,"GPSB_CELL DIVISION INITIATION PROTEIN"
"GROUP_16277_PHAGE PROTEIN",0.00441760773381717,"GROUP_16277_PHAGE PROTEIN"
"GROUP_12653_PYRIDOXAL DEPENDENT DECARBOXYLASE",0.00438787789443045,"GROUP_12653_PYRIDOXAL DEPENDENT DECARBOXYLASE"
"GROUP_5695_PHAGE PROTEIN",0.00433318506045143,"GROUP_5695_PHAGE PROTEIN"
"GROUP_12078_DNA-ENTRY NUCLEASE (COMPETENCE-SPECIFIC NUCLEASE)",0.00411954397218862,"GROUP_12078_DNA-ENTRY NUCLEASE (COMPETENCE-SPECIFIC NUCLEASE)"
"GROUP_8945_PHAGE PROTEIN",0.00369600485495362,"GROUP_8945_PHAGE PROTEIN"
"MALK_1_ABC TRANSPORTER ATP-BINDING PROTEIN",0.00366578181877426,"MALK_1_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_9026_HELICASE",0.00364062894551348,"GROUP_9026_HELICASE"
"GROUP_4695_TRANSCRIPTIONAL REGULATOR",0.00359792553290291,"GROUP_4695_TRANSCRIPTIONAL REGULATOR"
"PEPT_PEPTIDASE T",0.00354964793285233,"PEPT_PEPTIDASE T"
"ADAA_RESPONSE REGULATOR",0.00336730974195438,"ADAA_RESPONSE REGULATOR"
"GROUP_17368_RESPONSE REGULATOR",0.00332460612214941,"GROUP_17368_RESPONSE REGULATOR"
"GROUP_3967_SMC FAILY PROTEIN",0.00329824326950453,"GROUP_3967_SMC FAILY PROTEIN"
"GAPA_GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE",0.00315782291971346,"GAPA_GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE"
"GROUP_8422_LIPASE",0.00307467384492251,"GROUP_8422_LIPASE"
"GROUP_4312_CHAP DOMAIN CONTAINING PROTEIN",0.00300600090693757,"GROUP_4312_CHAP DOMAIN CONTAINING PROTEIN"
"RSME_16S RIBOSOMAL RNA METHYLTRANSFERASE RSME",0.00291439026440365,"RSME_16S RIBOSOMAL RNA METHYLTRANSFERASE RSME"
"GROUP_7346_ARYLSULFATASE",0.00276048755062809,"GROUP_7346_ARYLSULFATASE"
"GROUP_13751_TRNA (GUANINE-N(7)-)-METHYLTRANSFERASE",0.00260743839924303,"GROUP_13751_TRNA (GUANINE-N(7)-)-METHYLTRANSFERASE"
"YECD_2_AMIDASES RELATED TO NICOTINAMIDASE",0.00240929768773112,"YECD_2_AMIDASES RELATED TO NICOTINAMIDASE"
"GROUP_2815_POLY-GAMMA-GLUTAMATE BIOSYNTHESIS PROTEIN",0.00231218849146783,"GROUP_2815_POLY-GAMMA-GLUTAMATE BIOSYNTHESIS PROTEIN"
"HLYB_MULTIDRUG RESISTANCE PROTEIN 1 (ATP-BINDING CASSETTESUB-FAMILY B MEMBER 1) (P-GLYCOPROTEIN 1)(ANTIGEN)",0.00179564809852278,"HLYB_MULTIDRUG RESISTANCE PROTEIN 1 (ATP-BINDING CASSETTESUB-FAMILY B MEMBER 1) (P-GLYCOPROTEIN 1)(ANTIGEN)"
"GROUP_624_INTEGRASE/RECOMBINASE PHAGE INTEGRASE FAMILY PROTEIN",0.00137049783510282,"GROUP_624_INTEGRASE/RECOMBINASE PHAGE INTEGRASE FAMILY PROTEIN"
"GROUP_2989_RADICAL SAM FAMILY PROTEIN",0.00117410268591305,"GROUP_2989_RADICAL SAM FAMILY PROTEIN"
"GROUP_7145_XANTHINE PERMEASE",0.00116775918029139,"GROUP_7145_XANTHINE PERMEASE"
"GROUP_4413_DNA PRIMASE",0.00101782986274719,"GROUP_4413_DNA PRIMASE"
"YJJK_ABC TRANSPORTER ATP-BINDING PROTEIN",0.000797563444500991,"YJJK_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_4106_ABC TRANSPORTER MEMBRANE-SPANNING PROTEIN",0.000778983522221093,"GROUP_4106_ABC TRANSPORTER MEMBRANE-SPANNING PROTEIN"
"GROUP_7121_UNCHARACTERIZED CONSERVED PROTEIN",0.00058083633880799,"GROUP_7121_UNCHARACTERIZED CONSERVED PROTEIN"
"TCYB_AMINO ACID ABC TRANSPORTER PERMEASE",0.000562685155950637,"TCYB_AMINO ACID ABC TRANSPORTER PERMEASE"
"GROUP_12603_PHAGE PROTEIN",0.00035890674865506,"GROUP_12603_PHAGE PROTEIN"
"GROUP_12204_PUTATIVE INTEGRAL MEMBRANE PROTEIN",6.96657050600148e-05,"GROUP_12204_PUTATIVE INTEGRAL MEMBRANE PROTEIN"
"GROUP_4042_ABC TRANSPORTER ATPASE",-0.000472566849936744,"GROUP_4042_ABC TRANSPORTER ATPASE"
"GROUP_5261_LYSM DOMAIN PROTEIN",-0.000566824772960814,"GROUP_5261_LYSM DOMAIN PROTEIN"
"GROUP_7445_IMMUNITY PROTEIN BLPL",-0.000850163619585845,"GROUP_7445_IMMUNITY PROTEIN BLPL"
"GROUP_9321_EXTRACELLULAR PROTEIN",-0.000924870712371155,"GROUP_9321_EXTRACELLULAR PROTEIN"
"GPO_GLUTHATIONE PEROXIDASE",-0.00100922302979062,"GPO_GLUTHATIONE PEROXIDASE"
"RIBD_RIBOFLAVIN BIOSYNTHESIS PROTEIN RIBD",-0.00106287120103431,"RIBD_RIBOFLAVIN BIOSYNTHESIS PROTEIN RIBD"
"GROUP_13253_MAJOR TAIL SHAFT PROTEIN",-0.00132939507929006,"GROUP_13253_MAJOR TAIL SHAFT PROTEIN"
"GROUP_16268_CONJUGATION PROTEIN",-0.00138591859994419,"GROUP_16268_CONJUGATION PROTEIN"
"GROUP_19588_REPRESSOR",-0.0021411366962029,"GROUP_19588_REPRESSOR"
"UBIE_METHYLTRANSFERASE SMALL DOMAIN SUPERFAMILY PROTEIN",-0.00219574815458078,"UBIE_METHYLTRANSFERASE SMALL DOMAIN SUPERFAMILY PROTEIN"
"GROUP_4965_CARBAMOYLPHOSPHATE SYNTHASE LARGE SUBUNIT",-0.00221618868578006,"GROUP_4965_CARBAMOYLPHOSPHATE SYNTHASE LARGE SUBUNIT"
"GROUP_18385_PHAGE PROTEIN",-0.00277528219322932,"GROUP_18385_PHAGE PROTEIN"
"HRSA_PTS SYSTEM TRANSPORTER SUBUNIT IIA",-0.00278678430526,"HRSA_PTS SYSTEM TRANSPORTER SUBUNIT IIA"
"GROUP_13817_ACCESSORY SECTRETION PROTEIN",-0.00299437991447356,"GROUP_13817_ACCESSORY SECTRETION PROTEIN"
"GROUP_13949_RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE ALPHA SUBUNIT",-0.00318483174033752,"GROUP_13949_RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE ALPHA SUBUNIT"
"GROUP_6723_NA+/H+ ANTIPORTER",-0.00342722184131192,"GROUP_6723_NA+/H+ ANTIPORTER"
"CMPC_ABC TRANSPORTER ATPASE",-0.00347351858951328,"CMPC_ABC TRANSPORTER ATPASE"
"ILVD_DIHYDROXY-ACID DEHYDRATASE",-0.00351947182760862,"ILVD_DIHYDROXY-ACID DEHYDRATASE"
"GROUP_12237_MEMBRANE PROTEIN",-0.00390750721856704,"GROUP_12237_MEMBRANE PROTEIN"
"GROUP_5656_GLUTHATIONE PEROXIDASE",-0.00401717290917772,"GROUP_5656_GLUTHATIONE PEROXIDASE"
"GROUP_1560_TN5253 BACTERIOCINE PUTATIVE",-0.00419112284191377,"GROUP_1560_TN5253 BACTERIOCINE PUTATIVE"
"META_HOMOSERINE O-SUCCINYLTRANSFERASE",-0.00455847940820886,"META_HOMOSERINE O-SUCCINYLTRANSFERASE"
"ARCC_CARBAMATE KINASE",-0.00475405776221859,"ARCC_CARBAMATE KINASE"
"GROUP_7180_DNA-3-METHYLADENINE GLYCOSYLASE I",-0.00479035979175974,"GROUP_7180_DNA-3-METHYLADENINE GLYCOSYLASE I"
"GROUP_12260_BACTERIOCIN BLPJ",-0.00488611754138547,"GROUP_12260_BACTERIOCIN BLPJ"
"GROUP_9153_MEMBRANE PROTEIN",-0.00520880516914095,"GROUP_9153_MEMBRANE PROTEIN"
"GROUP_2951_MULTIDRUG RESISTANCE PROTEIN 1 (ATP-BINDING CASSETTESUB-FAMILY B MEMBER 1) (P-GLYCOPROTEIN 1) (ANTIGEN)",-0.00541050383125907,"GROUP_2951_MULTIDRUG RESISTANCE PROTEIN 1 (ATP-BINDING CASSETTESUB-FAMILY B MEMBER 1) (P-GLYCOPROTEIN 1) (ANTIGEN)"
"GROUP_172_CHLOROHYDROLASE",-0.00550561858781645,"GROUP_172_CHLOROHYDROLASE"
"GROUP_5508_PUTATIVE PEPTIDASE",-0.00558623023855943,"GROUP_5508_PUTATIVE PEPTIDASE"
"SCRR_SUCROSE OPERON REPRESSOR (SCR OPERON REGULATORY PROTEIN)",-0.00583673408598402,"SCRR_SUCROSE OPERON REPRESSOR (SCR OPERON REGULATORY PROTEIN)"
"GROUP_1790_BLPC ABC TRANSPORTER",-0.00594752790370467,"GROUP_1790_BLPC ABC TRANSPORTER"
"YPMB_PEPTIDASE PROPEPTIDE AND YPEB DOMAIN-CONTAINING PROTEIN",-0.00597583348453543,"YPMB_PEPTIDASE PROPEPTIDE AND YPEB DOMAIN-CONTAINING PROTEIN"
"GROUP_12941_PORTAL PROTEIN",-0.00614018397116151,"GROUP_12941_PORTAL PROTEIN"
"GROUP_6038_REGULATOR OF THE MULTIDRUG EFFLUX PUMP PMRA",-0.00628140753534338,"GROUP_6038_REGULATOR OF THE MULTIDRUG EFFLUX PUMP PMRA"
"DNAJ_DNAJ PROTEIN HEAT-SHOCK PROTEIN (ACTIVATION OF DNAK)",-0.00634993603598098,"DNAJ_DNAJ PROTEIN HEAT-SHOCK PROTEIN (ACTIVATION OF DNAK)"
"PEPA_1_PEPTIDASE M42 (GLUTAMYL AMINOPEPTIDASE) FAMILY",-0.00638372600813043,"PEPA_1_PEPTIDASE M42 (GLUTAMYL AMINOPEPTIDASE) FAMILY"
"GROUP_10103_INVOLVED IN TRANSFORMATION",-0.00698554767466448,"GROUP_10103_INVOLVED IN TRANSFORMATION"
"LACC-2_TAGATOSE-6-PHOSPHATE KINASE",-0.00713803507557678,"LACC-2_TAGATOSE-6-PHOSPHATE KINASE"
"PEPQ_X-PRO DIPEPTIDASE",-0.00732787375088381,"PEPQ_X-PRO DIPEPTIDASE"
"GROUP_6244_PHAGE PROTEIN",-0.00736017449282663,"GROUP_6244_PHAGE PROTEIN"
"RELA_2_GUANOSINE POLYPHOSPHATE PYROPHOSPHOHYDROLASES/SYNTHETASES (COG0317)",-0.00745416551068457,"RELA_2_GUANOSINE POLYPHOSPHATE PYROPHOSPHOHYDROLASES/SYNTHETASES (COG0317)"
"GROUP_11217_SERINE HYDROXYMETHYLTRANSFERASE",-0.00747242969784778,"GROUP_11217_SERINE HYDROXYMETHYLTRANSFERASE"
"GROUP_5170_ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN",-0.00800040314987641,"GROUP_5170_ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN"
"GROUP_5924_OLIGOENDOPEPTIDASE F",-0.0081303903582081,"GROUP_5924_OLIGOENDOPEPTIDASE F"
"GROUP_18384_PHAGE PROTEIN",-0.00844282704169592,"GROUP_18384_PHAGE PROTEIN"
"GROUP_8908_PTS TRANSPORTER",-0.0087938926416895,"GROUP_8908_PTS TRANSPORTER"
"GROUP_19589_REPRESSOR PROTEIN",-0.00893671059193711,"GROUP_19589_REPRESSOR PROTEIN"
"GROUP_9627_PEPTIDASE PROPEPTIDE AND YPEB DOMAIN-CONTAINING PROTEIN",-0.00953290259443014,"GROUP_9627_PEPTIDASE PROPEPTIDE AND YPEB DOMAIN-CONTAINING PROTEIN"
"CMTB_TRANSCRIPTIONAL REGULATOR BGLG FAMILY",-0.0097278111760894,"CMTB_TRANSCRIPTIONAL REGULATOR BGLG FAMILY"
"GROUP_7380_GAMMA-GLUTAMYLCYSTEINE SYNTHETASE PUTATIVE",-0.00984530144038818,"GROUP_7380_GAMMA-GLUTAMYLCYSTEINE SYNTHETASE PUTATIVE"
"GROUP_6107_MAJOR FACILITATOR SUPERFAMILY PERMEASE",-0.00986732958621498,"GROUP_6107_MAJOR FACILITATOR SUPERFAMILY PERMEASE"
"GROUP_10915_EXCINUCLEASE ABC SUBUNIT B",-0.0098673688217014,"GROUP_10915_EXCINUCLEASE ABC SUBUNIT B"
"GROUP_16797_PROPHAGE LAMBDASA2 TERMINASE LARGE SUBUNIT",-0.010047843241448,"GROUP_16797_PROPHAGE LAMBDASA2 TERMINASE LARGE SUBUNIT"
"CGLD_COMPETENCE PROTEIN CGLD",-0.0100548219815895,"CGLD_COMPETENCE PROTEIN CGLD"
"GROUP_16101_BACTERIOCIN",-0.0101518385204518,"GROUP_16101_BACTERIOCIN"
"GROUP_4861_RESPONSE REGULATOR",-0.010281430329399,"GROUP_4861_RESPONSE REGULATOR"
"GROUP_2214_TYPE I RESTRICTION-MODIFICATION SYSTEM R SUBUNIT",-0.0103903565014672,"GROUP_2214_TYPE I RESTRICTION-MODIFICATION SYSTEM R SUBUNIT"
"GROUP_12169_TRANSCRIPTIONAL REGULATOR MARR FAMILY",-0.0108188109092934,"GROUP_12169_TRANSCRIPTIONAL REGULATOR MARR FAMILY"
"GROUP_3173_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN",-0.010943458349099,"GROUP_3173_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN"
"GROUP_16813_PREVENT HOST DEATH FAMILY PROTEIN",-0.0109509974137199,"GROUP_16813_PREVENT HOST DEATH FAMILY PROTEIN"
"YWLG_UPF0340 PROTEIN SSU05",-0.0109935579758881,"YWLG_UPF0340 PROTEIN SSU05"
"MALF_MALTODEXTRIN ABC TRANSPORTER PERMEASE",-0.0110065873069939,"MALF_MALTODEXTRIN ABC TRANSPORTER PERMEASE"
"LACD_TAGATOSE 16-DIPHOSPHATE ALDOLASE",-0.0110099809152621,"LACD_TAGATOSE 16-DIPHOSPHATE ALDOLASE"
"GROUP_8456_LJ965 PROPHAGE PROTEIN",-0.0110515843845024,"GROUP_8456_LJ965 PROPHAGE PROTEIN"
"GROUP_12020_PTS SYSTEM TRANSPORTER SUBUNIT IID",-0.0113192984789269,"GROUP_12020_PTS SYSTEM TRANSPORTER SUBUNIT IID"
"GROUP_5294_ABC TRANSPORTER ATP-BINDING PROTEIN",-0.0119671992904376,"GROUP_5294_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_1725_PUTATIVE TRANSCRIPTION ANTITERMINATOR BGLG FAMILY PROTEIN",-0.0123537203222663,"GROUP_1725_PUTATIVE TRANSCRIPTION ANTITERMINATOR BGLG FAMILY PROTEIN"
"GROUP_6747_COBALT ABC TRANSPORTER ATP-BINDING PROTEIN",-0.0124388686744368,"GROUP_6747_COBALT ABC TRANSPORTER ATP-BINDING PROTEIN"
"TRPF_N-(5'-PHOSPHORIBOSYL)ANTHRANILATE ISOMERASE",-0.0125209394450513,"TRPF_N-(5'-PHOSPHORIBOSYL)ANTHRANILATE ISOMERASE"
"ACOC_DIHYDROLIPOAMIDE ACETYLTRANSFERASE",-0.0125221418462894,"ACOC_DIHYDROLIPOAMIDE ACETYLTRANSFERASE"
